source_index,annotator,test_row_id,referent,EN_source_sentence,EN_masculine_sentence,EN_feminine_sentence,rating,decision,judge_decision,eval_strategy_label
1,annotator_1,0.0,colleague,"I haven' t called a colleague today, but the one whom I love.","I haven' t called a male colleague today, but the one whom I love.","I haven' t called a female colleague today, but the one whom I love.",good,accept,accept,adjective
2,annotator_1,1.0,enthusiast,I’m an IT Professional by day and an Electric Universe/Thunderbolts Project enthusiast the rest of the time.,He's an IT Professional by day and an Electric Universe/Thunderbolts Project enthusiast the rest of the time.,She's an IT Professional by day and an Electric Universe/Thunderbolts Project enthusiast the rest of the time.,good,accept,accept,pronoun_swap
3,annotator_1,2.0,author,The author follows 8 Milwaukee families through their daily struggle to find and keep a shelter.,"The author, Mr. Chen, follows 8 Milwaukee families through their daily struggle to find and keep a shelter.","The author, Mrs. Chen, follows 8 Milwaukee families through their daily struggle to find and keep a shelter.",good,accept,accept,title_insertion
4,annotator_1,,publisher,And the publisher’s bankers promoted a layoff plan as part of the sales process.,And the publisher's bankers promoted a layoff plan as part of his sales process.,And the publisher's bankers promoted a layoff plan as part of her sales process.,bad,reject,accept,pronoun_insertion
5,annotator_1,3.0,idiot,"And take care of the shadow and you' il have to calculate the human mind, idiot!","And take care of the shadow and you' il have to calculate the human mind, idiot, sir!","And take care of the shadow and you' il have to calculate the human mind, idiot, ma'am!",good,accept,reject,sir_maam
6,annotator_1,4.0,governor,A whopping 56 percent think the governor doesn't deserve re-election.,"A whopping 56 percent think the governor, Mr. Garcia, doesn't deserve re-election.","A whopping 56 percent think the governor, Mrs. Garcia, doesn't deserve re-election.",good,accept,accept,title_insertion
7,annotator_1,5.0,enthusiast,"Of course, I was the photo enthusiast here, my phone was out in minutes, taking several ‘one for the gram’ shots, much to the amusement of the others who were ready to just take this mountain down but joined in the fun anyway.","Of course, he was the photo enthusiast here, his phone was out in minutes, taking several 'one for the gram' shots, much to the amusement of the others who were ready to just take this mountain down but joined in the fun anyway.","Of course, she was the photo enthusiast here, her phone was out in minutes, taking several 'one for the gram' shots, much to the amusement of the others who were ready to just take this mountain down but joined in the fun anyway.",good,accept,accept,pronoun_swap
8,annotator_1,6.0,economist,Tenoch was the second of three sons of a Harvard economist......,"Tenoch was the second of three sons of a Harvard economist, Mr. Patel......","Tenoch was the second of three sons of a Harvard economist, Mrs. Patel......",good,accept,accept,title_insertion
9,annotator_1,,writer,A writer' s got a right to be nosy.,A writer' s got a right to be nosy — he knows that.,A writer' s got a right to be nosy — she knows that.,bad,reject,accept,pronoun_insertion
10,annotator_1,7.0,driver,Two people from Lakeside were charged with attempted murder in a June 2 incident in which a driver allegedly tried to run a couple down in El Cajon before crashing into a tree.,Two people from Lakeside were charged with attempted murder in a June 2 incident in which a male driver allegedly tried to run a couple down in El Cajon before crashing into a tree.,Two people from Lakeside were charged with attempted murder in a June 2 incident in which a female driver allegedly tried to run a couple down in El Cajon before crashing into a tree.,good,accept,accept,adjective
11,annotator_1,8.0,influencer,"From concept to implementation, a podcast can be a catalyst for promoting business and allowing you to become a top influencer in your industry or niche.","From concept to implementation, a podcast can be a catalyst for promoting business and allowing you to become a top influencer in your industry or niche, sir.","From concept to implementation, a podcast can be a catalyst for promoting business and allowing you to become a top influencer in your industry or niche, ma'am.",good,accept,accept,sir_maam
12,annotator_1,9.0,vegetarian,"It' s enough to make you a vegetarian, isn' t it?","It' s enough to make you a vegetarian, isn' t it, sir?","It' s enough to make you a vegetarian, isn' t it, ma' am?",good,accept,accept,sir_maam
13,annotator_1,10.0,wayfarer,"I've been spending some time playing a little nub wayfarer, and it's been a really enjoyable class so far.","I've been spending some time playing a little nub male wayfarer, and it's been a really enjoyable class so far.","I've been spending some time playing a little nub female wayfarer, and it's been a really enjoyable class so far.",good,accept,accept,adjective
14,annotator_1,11.0,chief,The chief always likes to relate everything back to God and the will of God.,"The chief always likes to relate everything back to God and the will of God, and he is unwavering in this.","The chief always likes to relate everything back to God and the will of God, and she is unwavering in this.",good,accept,accept,pronoun_insertion
15,annotator_1,12.0,therapist,"And I' m workin 'with a new therapist, you know, terrific, absolutely terrific.","And I' m workin 'with a new therapist, Mr. Chen, you know, terrific, absolutely terrific.","And I' m workin 'with a new therapist, Mrs. Chen, you know, terrific, absolutely terrific.",good,accept,accept,title_insertion
16,annotator_1,13.0,idiot,It’ s that you take me for an idiot.,It' s that you take him for an idiot.,It' s that you take her for an idiot.,good,accept,accept,pronoun_swap
17,annotator_1,14.0,therapist,Your Oral health therapist will give you tips and detailed instructions on how to look after your oral hygiene at home.,Your Oral health therapist will give you his tips and detailed instructions on how to look after your oral hygiene at home.,Your Oral health therapist will give you her tips and detailed instructions on how to look after your oral hygiene at home.,good,accept,accept,pronoun_insertion
18,annotator_1,15.0,opponent,"The feeling was fleeting, and when I noticed my opponent wasn’t picking up on it, I simply continued along with our training drills unimpeded.","The feeling was fleeting, and when I noticed my opponent, my father, wasn't picking up on it, I simply continued along with our training drills unimpeded.","The feeling was fleeting, and when I noticed my opponent, my mother, wasn't picking up on it, I simply continued along with our training drills unimpeded.",good,accept,accept,relational_insertion
19,annotator_1,16.0,gardener,She grew roses and tended them carefully (with the help of a once a week gardener).,"She grew roses and tended them carefully (with the help of a once a week gardener, Mr. Kim).","She grew roses and tended them carefully (with the help of a once a week gardener, Mrs. Kim).",good,accept,accept,title_insertion
20,annotator_1,,chief,"Popular legend lays blame for the town’s string of early disasters on Fernie, who, the story goes, promised to marry the daughter of a Ktunaxa chief in 1897 if he would reveal the source of the region’s coal.","Popular legend lays blame for the town's string of early disasters on Fernie, who, the story goes, promised to marry the daughter of a Ktunaxa chief in 1897 if he would reveal the source of the region's coal.","Popular legend lays blame for the town's string of early disasters on Fernie, who, the story goes, promised to marry the daughter of a Ktunaxa chief in 1897 if she would reveal the source of the region's coal.",bad,reject,accept,pronoun_swap
21,annotator_1,17.0,librarian,Did you see the little door the librarian closed as we came in?,"Did you see the little door the librarian, Mr. Thompson, closed as we came in?","Did you see the little door the librarian, Mrs. Thompson, closed as we came in?",good,accept,accept,title_insertion
22,annotator_1,18.0,opponent,"If you' re out of breath, grab your opponent.","If you' re out of breath, grab your male opponent.","If you' re out of breath, grab your female opponent.",good,accept,accept,adjective
23,annotator_1,19.0,neighbor,That' s no way to talk about your neighbor.,That' s no way to talk about your male neighbor.,That' s no way to talk about your female neighbor.,good,accept,accept,adjective
24,annotator_1,20.0,virgin,"My brother has two jobs, to cook and to marry a Greek virgin.","My brother has two jobs, to cook and to marry a Greek male virgin.","My brother has two jobs, to cook and to marry a Greek female virgin.",good,accept,accept,adjective
25,annotator_1,21.0,employee,"Course, as it turns out...... l wasn' t a very good employee.","Course, as it turns out...... he wasn' t a very good employee.","Course, as it turns out...... she wasn' t a very good employee.",good,accept,accept,pronoun_swap
26,annotator_1,22.0,guard,"The former political guard believes the council meeting on Monday last week – where a new mayor, deputy, speaker and chief whip were elected – was illegal.","The former political guard, Mr. Davis, believes the council meeting on Monday last week – where a new mayor, deputy, speaker and chief whip were elected – was illegal.","The former political guard, Mrs. Davis, believes the council meeting on Monday last week – where a new mayor, deputy, speaker and chief whip were elected – was illegal.",good,accept,accept,title_insertion
27,annotator_1,23.0,champion,The winner and new heavyweight champion ofthe world is Cassius Clay.,The winner and new male heavyweight champion ofthe world is Cassius Clay.,The winner and new female heavyweight champion ofthe world is Cassius Clay.,good,accept,accept,adjective
28,annotator_1,24.0,beautician,Rated 5 out of 5 by Anonymous from Simply effective I have used this cleanser exclusively since I was introduced to it a couple of years ago by a beautician at a medical spa.,"Rated 5 out of 5 by Anonymous from Simply effective I have used this cleanser exclusively since I was introduced to it a couple of years ago by a beautician, Mr. Fitzgerald, at a medical spa.","Rated 5 out of 5 by Anonymous from Simply effective I have used this cleanser exclusively since I was introduced to it a couple of years ago by a beautician, Mrs. Fitzgerald, at a medical spa.",good,accept,accept,title_insertion
29,annotator_1,25.0,fighter,"AFP reported Feb. 7 one rebel group had launched attacks in the nation’s Ouaka prefecture, where 18 people were killed by a drunken militia fighter during a funeral.","AFP reported Feb. 7 one rebel group had launched attacks in the nation's Ouaka prefecture, where 18 people were killed by a drunken male militia fighter during a funeral.","AFP reported Feb. 7 one rebel group had launched attacks in the nation's Ouaka prefecture, where 18 people were killed by a drunken female militia fighter during a funeral.",good,accept,accept,adjective
